Laikotarpis,Rodiklis,Kelių naudotojai,Nukentėjusysis,Nukentėjusiųjų tipas,Matavimo vienetai,Reikšmė
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,122
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,244
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,75
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,71
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,92
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,7
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,7
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,4
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,1628
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,1610
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,1607
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,83
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,90
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,67
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Vairuotojai,Sužeistieji,kelių naudotojai,
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Vairuotojai,Sužeistieji,kelių naudotojai,
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Vairuotojai,Sužeistieji,kelių naudotojai,
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Vairuotojai,Žuvusieji,kelių naudotojai,
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Vairuotojai,Žuvusieji,kelių naudotojai,
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Vairuotojai,Žuvusieji,kelių naudotojai,
