Year,From 01.01,From 01.01,From 04.10 prev.y.,till 03.10
,till 03.10,till 03.10,,
2014,144,144,,
2015,132,132,,
2016,118,118,,
2017,98,98,,
2018,100,100,,
2019,95,95,,
2020,101,101,,
2021,108,108,,
2022,81,81,,
2023,103,103,,
2023,Goal < than,Goal < than,,
