Laikotarpis,Rodiklis,Kelių įvykis,Matavimo vienetai,Reikšmė,Metai,Menuo,Neblaivių asmenų kaltė,Administracinė teritorija
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,383,,,,Klaipėdos apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,104,,,,Marijampolės apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,85,,,,Marijampolės apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,119,,,,Marijampolės apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,301,,,,Panevėžio apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,239,,,,Panevėžio apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,303,,,,Panevėžio apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,252,,,,Šiaulių apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,241,,,,Šiaulių apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,256,,,,Šiaulių apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,70,,,,Tauragės apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,92,,,,Tauragės apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,61,,,,Tauragės apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,137,,,,Telšių apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,136,,,,Telšių apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,107,,,,Telšių apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,87,,,,Utenos apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,103,,,,Utenos apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,97,,,,Utenos apskritis
